CGSS2023编码表,,,,,,,
序号,调查方式,问卷题号,问卷题目,变量名,变量标签,取值标签,值标签
135,入户调查/电话调查（随机）,A303,过去一年，您是否经常在空闲时间从事以下活动？逛街购物,a3003,过去一年，您是否常在空闲时间从事以下活动-逛街购物,,
136,入户调查/电话调查（随机）,A304,过去一年，您是否经常在空闲时间从事以下活动？读书/报纸/杂志,a3004,过去一年，您是否常在空闲时间从事以下活动-读书/报纸/杂志,,
137,入户调查/电话调查（随机）,A305,过去一年，您是否经常在空闲时间从事以下活动？参加文化活动（比如听音乐会，看演出和展览）,a3005,过去一年，您是否常在空闲时间从事以下活动-参加文化活动，比如听音乐会看演出或展览,,
138,入户调查/电话调查（随机）,A306,过去一年，您是否经常在空闲时间从事以下活动？与不住在一起的亲戚聚会,a3006,过去一年，您是否常在空闲时间从事以下活动-与不住在一起的亲戚聚会,,
139,入户调查/电话调查（随机）,A307,过去一年，您是否经常在空闲时间从事以下活动？与朋友聚会,a3007,过去一年，您是否常在空闲时间从事以下活动-与朋友聚会,,
140,入户调查/电话调查（随机）,A308,过去一年，您是否经常在空闲时间从事以下活动？在家听音乐,a3008,过去一年，您是否常在空闲时间从事以下活动-在家听音乐,,
141,入户调查/电话调查（随机）,A309,过去一年，您是否经常在空闲时间从事以下活动？参加体育锻炼,a3009,过去一年，您是否常在空闲时间从事以下活动-参加体育锻炼,,
142,入户调查/电话调查（随机）,A3010,过去一年，您是否经常在空闲时间从事以下活动？现场观看体育比赛,a3010,过去一年，您是否常在空闲时间从事以下活动-现场观看体育比赛,,
143,入户调查/电话调查（随机）,A3011,过去一年，您是否经常在空闲时间从事以下活动？做手工（比如刺绣、木工）,a3011,过去一年，您是否常在空闲时间从事以下活动-做手工，比如刺绣、木工,,
144,入户调查/电话调查（随机）,A3012,过去一年，您是否经常在空闲时间从事以下活动？上网,a3012,过去一年，您是否常在空闲时间从事以下活动-上网,,
145,入户调查/电话调查（随机）,A30a,您有没有归自己单独使用的手机？,a30a,您有没有归自己单独使用的手机,a30alab,"-2 不知道
1 有
2 没有"
146,入户调查/电话调查（随机）,A30d,您日常使用的手机号有几个？,a30d,您日常使用的手机号有几个,a30dlab,"-3 拒绝回答
-2 不知道"
147,入户调查,A311,在过去一年中，您是否经常在您的空闲时间做下面的事情？社交/串门,a311,在过去一年中，您是否经常在您的空闲时间做下面的事情--社交,a31lab,"-5 电话调查未调查
-3 拒绝回答
-2 不知道
1 从不
2 很少
3 有时
4 经常
5 非常频繁"
148,入户调查,A312,在过去一年中，您是否经常在您的空闲时间做下面的事情？休息放松,a312,在过去一年中，您是否经常在您的空闲时间做下面的事情--休息放松,,
149,入户调查,A313,在过去一年中，您是否经常在您的空闲时间做下面的事情？学习充电,a313,在过去一年中，您是否经常在您的空闲时间做下面的事情--学习充电,,
150,入户调查,A31a,请问您与邻居进行社交娱乐活动（如互相串门，一起看电视，吃饭，打牌等）的频繁程,a31a,您与邻居进行社交娱乐活动的频繁程度,a31alab,"-5 电话调查未调查
-2 不知道
1 几乎每天
2 一周1到2次
3 一个月几次
4 大约一个月1次
5 一年几次
6 一年1次或更少
7 从来不"
151,入户调查,A31b,请问您与其他朋友进行社交娱乐活动（如互相串门，一起看电视，吃饭，打牌等）的频,a31b,您与其他朋友进行社交娱乐活动的频繁程度,a31blab,"-5 电话调查未调查
-2 不知道
1 几乎每天
2 一周1到2次
3 一个月几次
4 大约一个月1次
5 一年几次
6 一年1次或更少
7 从来不"
152,入户调查/电话调查（随机）,A32,在过去一年中，您有多少个晚上是因为出去度假或者探亲访友而没有在家过夜？,a32,在过去一年中，您有多少个晚上是因为出去度假或者探访亲友而没有在家过夜,a32lab,"-3 拒绝回答
-2 不知道
1 从未
2 1-5个晚上
3 6-10个晚上
4 11-20个晚上
5 21-30个晚上
6 超过30个晚上"
153,入户调查/电话调查,A33,总的来说，您同不同意在这个社会上，绝大多数人都是可以信任的？,a33,总的来说，您同不同意在这个社会上，绝大多数人都是可以信任的,a33lab,"-3 拒绝回答
-2 不知道
1 非常不同意
2 比较不同意
3 说不上同意不同意
4 比较同意
5 非常同意"
154,入户调查/电话调查（随机）,A34,总的来说，您同不同意在这个社会上，您一不小心，别人就会想办法占您的便宜？,a34,总的来说，您同不同意在这个社会上，您一不小心，别人就会想办法占您的便宜,a34lab,"-3 拒绝回答
-2 不知道
1 非常不同意
2 比较不同意
3 说不上同意不同意
4 比较同意
5 非常同意"
155,入户调查/电话调查（随机）,A35,总的来说，您认为当今的社会公不公平？,a35,总的来说，您认为当今社会公不公平,a35lab,"-3 拒绝回答
-2 不知道
1 完全不公平
2 比较不公平
3 说不上公平但也不能说不公平
4 比较公平
5 完全公平"
156,入户调查/电话调查,A36,总的来说，您觉得您的生活是否幸福？,a36,总的来说，您觉得您的生活是否幸福,a36lab,"-3 拒绝回答
-2 不知道
1 非常不幸福
2 比较不幸福
3 说不上幸福不幸福
4 比较幸福
5 非常幸福"
157,入户调查/电话调查,A37,如果没有政策限制的话，您希望有几个孩子？,a371,如果没有政策限制的话，您希望有几个孩子,a37lab,"-3 拒绝回答
-2 不知道
97 无所谓"
158,入户调查/电话调查,A37,如果没有政策限制的话，您希望有几个孩子？儿子,a372,如果没有政策限制的话，您希望有几个儿子,,
159,入户调查/电话调查,A37,如果没有政策限制的话，您希望有几个孩子？女儿,a373,如果没有政策限制的话，您希望有几个女儿,,
160,入户调查/电话调查,A38,您认为婚前性行为对不对？,a38,您认为婚前性行为对不对,a38lab,"-3 拒绝回答
-2 不知道
1 总是不对的
2 大多数情况下是不对的
3 说不上对与不对
4 有时是对的
5 完全是对的"
161,入户调查/电话调查,A39,您认为婚外性行为对不对？,a39,您认为婚外性行为对不对,a39lab,"-3 拒绝回答
-2 不知道
1 总是不对的
2 大多数情况下是不对的
3 说不上对与不对
4 有时是对的
5 完全是对的"
162,入户调查/电话调查,A40,您认为同性间的性行为对不对？,a40,您认为同性间的性行为对不对,a40lab,"-3 拒绝回答
-2 不知道
1 总是不对的
2 大多数情况下是不对的
3 说不上对与不对
4 有时是对的
5 完全是对的"
163,入户调查/电话调查（随机）,A41,您认为有子女的老人的养老主要应该由谁负责？,a41,您认为有子女的老人的养老主要应该由谁负责,a41lab,"-3 拒绝回答
-2 不知道
1 主要由政府负责
2 主要由子女负责
3 主要由老人自己负责
4 政府/子女/老人责任均摊"
164,电话调查,无/A41new,您目前居住地与户口登记地的关系是？,a41new,您目前居住地与户口登记地的关系,a41newlab,"-4 入户面访未调查
-3 拒绝回答
1 在同一个县级单位内
2 同一个地、市但不同县级单位
3 同省但不同地、市
4 不同省"
165,电话调查,无/A42new,您目前的职业是什么？,a42new,您目前的职业,a42newlab,"-4 入户面访未调查
-3 拒绝回答
-2 不知道
1 农林牧渔业劳动者
2 非技术工人（体力工人）
3 技术工人（体力工人）
4 商业、服务业人员
5 一般办公室人员
6 中层管理人员
7 高级管理人员、单位负责人
8 一般专业技术人员
9 中级专业技术人员
10 高级专业技术人员
11 私营企业主
12 个体户
13 军人或警察
14 学生
15 退休
16 无业/失业
17 其他"
166,电话调查,无/A42anew,其他，请注明：,a42anew,您目前的职业-其他，请注明,,
167,入户调查/电话调查（随机）,A421,您是否同意以下说法：男人以事业为重，女人以家庭为重,a421,您是否同意-男人以事业为重，女人以家庭为重,a42lab,"-3 拒绝回答
-2 不知道
1 完全不同意
2 比较不同意
3 无所谓同意不同意
4 比较同意
5 完全同意"
168,入户调查/电话调查（随机）,A422,您是否同意以下说法：男性能力天生比女性强,a422,您是否同意-男性能力天生比女性强,,
169,入户调查/电话调查（随机）,A423,您是否同意以下说法：干得好不如嫁得好,a423,您是否同意-干得好不如嫁得好,,
170,入户调查/电话调查（随机）,A424,您是否同意以下说法：在经济不景气时，应该先解雇女性员工,a424,您是否同意-在经济不景气时，应该先解雇女性员工,,
